0.31272,0.033
0.11124,0.03444
0.02916,0.11424
0.03012,0.03468
0.02946,0.0342
0.14928,0.17742
0.11022,0.2724
0.0282,0.2637
0.23724,0.07728
0.03468,0.58158
0.42564,2.3747
0.51264,0.35994
0.2271,0.10404
0.39636,0.05442
0.55446,2.2803
0.31104,0.77142
0.68556,1.4409
0.70164,2.2905
0.6765,0.5172
0.81186,0.35232
0.24612,0.10674
0.1752,0.10692
0.34308,1.9284
0.05436,0.10854
0.0567,0.23532
0.1731,0.35712
0.13926,0.16686
0.05682,0.09732
0.06432,0.1677
0.16842,0.23004
0.13548,0.19374
0.05124,0.0927
0.05586,0.0984
0.13518,0.38556
0.36102,0.26604
0.45834,0.48672
3.0342,0.26484
2.4807,0.29322
1.0595,0.5265
0.62742,0.44802
0.55116,0.67428
0.64386,0.59802
1.0203,0.64932
0.77364,2.1651
0.78684,0.36678
0.88212,0.63066
0.66684,0.36348
0.21918,0.38052
0.28272,0.09648
0.05964,0.14268
0.06042,0.06042
0.0963,0.05322
0.06,0.20658
0.0582,0.18204
0.13866,0.15306
0.13746,0.10638
0.22302,0.05154
0.15774,0.05214
1.3314,0.32286
2.2287,0.42894
1.1817,0.35946
0.50088,0.5382
0.46512,2.3978
0.55158,1.1494
0.59424,2.7553
0.68748,0.8583
0.66462,0.56448
0.6108,0.52896
0.49458,0.55566
0.59598,0.27894
0.36102,0.0972
0.12126,0.0924
0.03978,0.03612
0.16062,0.24072
0.04032,0.0366
0.03978,0.03612
0.11796,0.2556
0.14004,0.14256
0.19902,1.7228
0.28236,0.07632
0.28602,0.17568
0.29112,0.0576
0.22218,0.16236
0.37782,0.05472
0.23604,2.9443
0.06156,0.25266
0.51786,0.33354
0.12492,0.42696
0.12588,0.71104
2.9873,0.55158
0.73224,0.58278
0.61854,0.50304
0.28776,0.49914
0.24072,0.20436
0.3243,0.03996
0.11118,0.11772
0.11004,0.03432
0.0348,0.153
0.03594,0.03324
0.11442,0.09816
0.111,0.21732
0.21228,0.1155
0.13392,0.13392
0.86544,0.05358
0.16254,0.05124
0.05406,0.0504
0.0348,0.04608
0.11268,0.2505
0.03,0.06066
0.02886,0.13794
0.14652,0.09954
0.03228,2.3118
1.7759,0.5844
0.60516,0.81822
0.58086,0.66666
0.6108,0.61026
0.4437,0.30648
0.28692,0.34056
0.24684,0.13644
0.0444,0.08178
0.03738,0.06546
0.15744,0.14886
0.14256,0.0657
0.1569,0.17388
0.14334,0.16374
0.16452,0.153
0.23676,0.1419
0.03804,0.1002
0.03846,0.31218
0.28842,0.29106
0.17928,0.09474
0.13428,0.17916
2.3092,0.26442
0.05466,0.20046
0.3912,0.3657
0.41844,0.71964
0.5154,0.68118
0.72336,0.70314
0.60108,0.58218
0.52536,0.74916
0.29442,0.5715
0.50994,0.17526
0.15678,0.1434
0.04824,0.06198
0.03498,0.06198
0.03552,0.0558
0.06402,0.135
0.03474,0.15756
0.22926,0.24618
0.1845,0.09984
0.25878,0.26274
0.07698,0.56856
0.17256,0.26868
0.19104,0.16434
0.22626,0.18558
0.05448,0.15516
0.05394,0.0714
2.4875,0.1614
2.8092,0.26124
1.8705,1.4666
0.58938,0.7059
0.46572,1.9697
0.23724,0.62166
0.19026,0.69204
0.1074,0.33318
0.13002,0.03642
2.9744,0.03198
0.16848,0.0309
0.17046,0.11424
0.16554,0.15684
0.09708,0.03108
0.09552,0.16752
0.21306,0.13794
0.29148,0.21774
0.09786,0.07818
0.09258,0.21786
0.25434,0.8196
0.44262,0.15228
0.46236,0.1032
0.2769,0.06444
0.94008,0.50766
0.46458,3.383
0.37854,1.3318
0.66768,0.67434
0.65724,0.47046
4.7399,0.38988
0.3465,0.3018
0.11304,0.44826
0.59916,0.5427
0.3702,0.35136
0.14778,0.04182
2.8351,0.12852
0.18288,0.04134
0.0591,0.15792
0.0534,0.13722
0.16572,0.1686
0.15666,0.12456
0.13674,0.1668
0.05178,0.32298
0.05358,0.58212
0.07464,0.36108
0.4293,0.0813
0.36984,0.28014
0.3852,0.3657
0.4053,0.43188
3.3113,1.4655
2.9579,0.74562
0.81054,0.97506
0.70086,0.2301
0.64986,0.264
0.74964,0.32322
0.2751,0.07362
0.20238,0.11418
0.16632,0.09906
0.03648,0.0339
0.0363,0.03378
0.03636,
0.03624,
0.11904,
0.17202,
0.23028,


# Details:
Description: Test
Creator: Test
Link: Test
