Model Details
Model: NeoHookean, Initial Guess: 1, Bounds: unbounded, RMSE: 0.456, BIC: -16.357
Model: Ogden1, Initial Guess: 1,1, Bounds: unbounded, RMSE: 0.45, BIC: -14.209

Predictions
Note2: experimentaldetails

Note: test2

x,y_original,NeoHookean_ypred,Ogden1_ypred
1.0041,1.0205,0.07216808662794041,0.07498696391993544
1.0163,1.0422,0.286935550404326,0.2963238430838386
1.0265,1.0685,0.4665560335343594,0.4793491937787859
1.0362,1.0921,0.6374564517279806,0.6517259025236767
1.0464,1.1113,0.8172870957448385,0.8312587157113426
1.0571,1.126,1.0061003206336414,1.017723857348466
1.0691,1.1406,1.218100230867215,1.224614799370245
1.0749,1.1498,1.320673957817191,1.3237823344373976
1.0785,1.1573,1.3843787585523961,1.3850662256980661
1.0826,1.1608,1.456969088983257,1.4546134830209168
1.0882,1.1627,1.556184726488792,1.5491811395650925
1.0844,1.1725,1.4888511116455578,1.4850633912626428
