Model Details
Model: MooneyRivlin, Initial Guess: ['1,1', '1,1'], Bounds: [u, n], RMSE: 0.128, BIC: -1268.848

Predictions
Note2: test2note2

Note: test2

x,y_original,MooneyRivlin_ypred
0.043633333,0.018135645,-0.006249368268968977
0.065746667,0.031652736,-0.007913285916904114
0.08695,0.045264498,-0.008503632425703109
0.10761,0.057815022,-0.00809125093130686
0.12783,0.07023214,-0.00670359572735002
0.147636667,0.083929024,-0.004360846879341074
0.167053333,0.096613927,-0.0010803041933850066
0.1861,0.110668386,0.003122945980666203
0.204793333,0.124174849,0.008235321521980588
0.22314,0.138591645,0.014241628681566365
0.24116,0.153861612,0.021131984245963242
0.25886,0.168415349,0.02889316312875473
0.27625,0.183757431,0.03751366771007553
0.29335,0.199135877,0.04698863301329986
0.310156667,0.214903407,0.057301443385247175
0.326686667,0.231796985,0.06844733206492332
0.342943333,0.248106116,0.08041396583426053
0.358946667,0.265655117,0.09320230172743316
0.37469,0.283181226,0.10679316719309484
0.3902,0.301730464,0.12119638857381676
0.405466667,0.320876471,0.1363898456881334
0.4205,0.340597062,0.15236941543877813
0.43532,0.360863981,0.16914411804025775
0.449916667,0.381907232,0.18669024555478586
0.464306667,0.403313698,0.20501499774276055
0.47849,0.42526193,0.22410618058695653
0.49248,0.446924312,0.24396990674216856
0.50627,0.468991243,0.26458452257048304
0.51988,0.49216602,0.28596819263826456
0.5333,0.515214522,0.3080935686892511
0.546543333,0.539642889,0.33097037300354326
0.559616667,0.563620519,0.3545992307872188
0.57252,0.58853728,0.3789690854027645
0.58526,0.615078697,0.4040813490702735
0.59784,0.640979489,0.42993172145823166
0.61026,0.668226506,0.4565088385095917
0.62253,0.695976824,0.4838231182123922
0.63465,0.724051879,0.5118639994312759
0.64663,0.753351419,0.5406445337239123
0.65846,0.782007962,0.5701297710165381
0.67016,0.812343819,0.6003591776387751
0.68172,0.842963756,0.6312970966790341
0.69315,0.874247938,0.6629597002717997
0.704446667,0.906204532,0.695327320190734
0.71562,0.938835939,0.7284183701378453
0.72667,0.971552991,0.7622233242899044
0.7376,1.005239178,0.7967426256172405
0.74841,1.040489998,0.8319663046743986
0.759103333,1.075439196,0.8678950528587579
0.76969,1.111160295,0.9045536610019378
0.78016,1.147507626,0.9418980197500721
0.79052,1.184298314,0.9799412497532534
0.80078,1.222278324,1.018711400390547
0.81093,1.260470609,1.058161380330529
0.82098,1.299765613,1.0983201369143787
0.83093,1.339056923,1.139178771636109
0.84078,1.378729853,1.1807277888795285
0.85054,1.419738794,1.2230009746374093
0.8602,1.461486065,1.265946042712497
0.86977,1.50246122,1.3095979151755484
0.87925,1.546593326,1.353948231376508
0.88864,1.589679955,1.3989880901204308
0.89794,1.633464845,1.4447080459267645
0.90716,1.678482956,1.4911490847700004
0.91629,1.723462199,1.5382521383915662
0.92534,1.769538615,1.5860595944767728
0.93431,1.815283098,1.6345635960241203
0.9432,1.863777849,1.6837558025956154
0.95201,1.910796099,1.7336273871339687
0.96074,1.959282327,1.7841690331564433
0.9694,2.008886699,1.835430780520381
0.97798,2.057987175,1.8873451144474305
0.98649,2.108041276,1.9399637717696203
0.99493,2.159486962,1.9932795241731522
1.0033,2.210646374,2.047284718466587
1.0116,2.262991536,2.101971273860717
1.01983,2.316229663,2.1573306795323397
1.02799,2.369651171,2.2133539924782655
1.03609,2.423605147,2.2701026023715762
1.04412,2.478373654,2.3274987746122986
1.05209,2.533580007,2.385605922624023
1.06,2.589277514,2.44441774067796
1.06784,2.646345741,2.5038510167637775
1.07562,2.703515166,2.5639723027215195
1.083343333,2.760692915,2.6248006524379455
1.09101,2.819122138,2.6863297605160255
1.09861,2.878416243,2.748470435468194
1.10616,2.938173217,2.811351174062855
1.11365,2.998416726,2.874882069234583
1.121083333,3.058362485,2.9390828912569384
1.128466667,3.120104499,3.0040047081447185
1.13579,3.183364839,3.0695519247567344
1.14306,3.245367985,3.135775447526125
1.150283333,3.309089456,3.2027300662029647
1.15745,3.371701321,3.2703160438231897
1.16457,3.437185343,3.3386203122730613
1.17164,3.502818586,3.407604842630782
1.17865,3.568947826,3.4771623992692238
1.18562,3.634485181,3.5474839361239514
1.19254,3.702135623,3.618463251915676
1.19942,3.769795937,3.69019734472211
1.20624,3.838216609,3.7624692599299934
1.21302,3.907700412,3.8354822172856773
1.219756667,3.977696647,3.909195601687675
1.226446667,4.04762266,3.983566210690104
1.23309,4.119294025,4.058586163599731
1.23969,4.190235714,4.134285821060352
1.24625,4.262891596,4.210697623879572
1.25276,4.335426143,4.2876972396511706
1.25923,4.409687504,4.365394821426364
1.26567,4.484261787,4.443907518073699
1.272056667,4.559413267,4.522944025351951
1.278406667,4.635590059,4.602701654408614
1.284713333,4.711755284,4.6830902251752455
1.290983333,4.788049936,4.7641880473896405
1.297213333,4.86738994,4.845946001183134
1.30341,4.945779773,4.928446299701408
1.30956,5.026440637,5.011503983684895
1.31568,5.10533995,5.095337437186443
1.32176,5.185250427,5.179804654574064
1.3278,5.267041438,5.264897467011694
1.333803333,5.348367039,5.350655391081822
1.33977,5.4319697,5.4370717462075255
1.34571,5.516051011,5.524287420813541
1.35161,5.597620629,5.612101509821786
1.35747,5.683159636,5.700504628975821
1.363306667,5.768148263,5.789743665903508
1.3691,5.855732168,5.879507029009108
1.37487,5.942258875,5.970098642002399
1.3806,6.029584603,6.06125165581016
1.386296667,6.11795274,6.153063641476782
1.39196,6.206621864,6.245527954836531
1.39759,6.296973746,6.338637771789867
1.403196667,6.386782899,6.432554616712991
1.40877,6.477186651,6.527106921612093
1.41431,6.5688509,6.622287260016525
1.41982,6.661893409,6.718146322250088
1.4253,6.754670358,6.814678421668605
1.43075,6.848199517,6.911877681698806
1.43617,6.943148038,7.009738035254909
1.44156,7.0389442,7.108253224208751
1.44692,7.134978078,7.207416798914309
1.45225,7.232851211,7.307222117787194
1.45756,7.330398945,7.40785299309579
1.462833333,7.426639655,7.508987684489582
1.46808,7.527066896,7.610809663829511
1.47331,7.626530328,7.713511339729456
1.4785,7.725954115,7.816628107021459
1.48367,7.827428963,7.920549596446685
1.48881,7.9293866,8.025070359795055
1.493923333,8.030751729,8.130251232098294
1.49901,8.135854314,8.236086290830453
1.50408,8.239410844,8.34278103874855
1.509113333,8.343662876,8.449908312762085
1.51413,8.449536594,8.557887378930182
1.51912,8.556104806,8.666499988395195
1.52408,8.662304084,8.77566561466238
1.52902,8.770050105,8.885598636018855
1.53393,8.879710207,8.99607063150261
1.53882,8.987586353,9.107300560750053
1.54369,9.098660259,9.219285949669636
1.54853,9.209236001,9.331790501066973
1.55335,9.320347556,9.445040163644586
1.55814,9.432296262,9.5587933088295
1.56292,9.545251986,9.673521886004533
1.56767,9.658262511,9.788742702622136
1.5724,9.77300993,9.904691218112996
1.5771,9.887911795,10.021115014705464
1.58179,10.00392892,10.138505966595297
1.58645,10.11953108,10.256359779712726
1.59109,10.23814192,10.374921631921293
1.59571,10.35789064,10.494187570968407
1.600303333,10.47478512,10.6139787630029
1.60488,10.59630536,10.73455048814339
1.60944,10.71567109,10.855901039834158
1.61397,10.83521009,10.977668447283538
1.61849,10.95819205,11.100385722367736
1.62298,11.0814233,11.223505126487035
1.62746,11.20362349,11.34757022819811
1.63191,11.32805743,11.472022168235327
1.636346667,11.45400501,11.59732058778774
1.64076,11.578602,11.723179168598097
1.64516,11.70393801,11.84987913889443
1.64953,11.83309073,11.976933667948684
1.65389,11.95888473,12.104918621651807
1.65823,12.08805811,12.233538913665834
1.66255,12.2191064,12.362788673783873
1.66685,12.34771191,12.492661901893923
1.67113,12.47891382,12.62315246786853
1.6754,12.60990143,12.754563303249979
1.67964,12.74223051,12.886272517891886
1.68387,12.87492793,13.018894888940476
1.68808,13.00881704,13.152114608879197
1.69227,13.14299326,13.285924931209234
1.69645,13.27630978,13.42064274087049
1.70061,13.41216945,13.555943172075448
1.70475,13.54916597,13.691819120002837
1.70887,13.68755381,13.828263348767996
1.71298,13.82487684,13.965604150745731
1.71707,13.96432692,14.103504376288573
1.72114,14.10303125,14.241956429315083
1.7252,14.2439583,14.381297303297266
1.72924,14.38479403,14.521180505533366
1.73326,14.52532851,14.6615980785669
1.73727,14.66767838,14.802895833276917
1.74126,14.81124658,14.944717813904525
1.74524,14.95454033,15.087415788285012
1.7492,15.10056077,15.230627436833537
1.753143333,15.24523906,15.374466305432058
1.75707,15.39107716,15.518926883781448
1.76099,15.53679934,15.664376100690362
1.76489,15.68539776,15.810316650590934
1.76877,15.83246779,15.95673951724076
1.77264,15.98198432,16.10401771296683
1.77649,16.13168294,16.251766200375158
1.78033,16.28259128,16.400364182355652
1.78415,16.43347769,16.549420017939852
1.78796,16.58582167,16.69931915233448
1.79176,16.73916871,16.850061608430394
1.79554,16.89074687,17.001245756178733
1.79931,17.04562507,17.153266527296715
1.80306,17.20149156,17.30571554903346
1.8068,17.35633196,17.458994130205255
1.81052,17.51288891,17.612687104785874
1.81423,17.6706944,17.7672022081541
1.81793,17.82752639,17.92253893530082
1.82161,17.98491262,18.07827185108073
1.82528,18.14464116,18.234818448605157
1.82894,18.30364395,18.392178006815822
1.83258,18.4637537,18.549914698166063
1.83621,18.62464681,18.70845589343203
