Model Details
Model: Ogden3, Initial Guess: 1,1,1,1,1,1, Bounds: unbounded, RMSE: 0.031, BIC: -2465.651

Predictions
Note2: test2note2

Note: test2

x,y_original,Ogden3_ypred
0.04363,0.00717144,0.006057051481603626
0.06574,0.0137248,0.009409072572245325
0.08695,0.0219165,0.012829518409902096
0.10761,0.0271258,0.016373684740680794
0.12783,0.033414,0.0200645162003239
0.14764,0.0393555,0.023912618213022263
0.16705,0.0452093,0.02792469157998667
0.1861,0.0516831,0.03211370302769012
0.20479,0.0572511,0.03648419883977816
0.22314,0.0642637,0.041044928438251915
0.24116,0.0701539,0.04580223683673523
0.25886,0.0776447,0.05076224244796279
0.27626,0.0833272,0.055933944187792406
0.29335,0.090393,0.06131721121431255
0.31015,0.0974477,0.06692065598073071
0.32668,0.104271,0.07275360241606776
0.34294,0.11148,0.07881855022856854
0.35895,0.119103,0.08512536355353717
0.3747,0.126534,0.0916721185102567
0.3902,0.133706,0.0984642876293087
0.40546,0.142034,0.10550754104647098
0.4205,0.149629,0.11281278659068406
0.43532,0.158491,0.12038179542175342
0.44992,0.166719,0.128215718048601
0.46431,0.175395,0.13632083329591183
0.47849,0.183892,0.1446978291166019
0.49248,0.193466,0.15335943771372484
0.50627,0.201613,0.1623002181686246
0.51987,0.211538,0.17152682362816307
0.5333,0.221407,0.18105378411684825
0.54654,0.231336,0.19086731818735814
0.55962,0.241459,0.2009900169494756
0.57252,0.252279,0.2114066977053426
0.58526,0.262399,0.2221332839690504
0.59783,0.273763,0.23316110109744415
0.61026,0.28519,0.24451677835538277
0.62253,0.296457,0.2561823991993748
0.63465,0.308236,0.26816678384530235
0.64663,0.320085,0.28047978204047297
0.65846,0.332078,0.2931105926136013
0.67016,0.344883,0.306080179400702
0.68172,0.357368,0.3193772099792227
0.69315,0.371002,0.3330124906384526
0.70445,0.383814,0.3469855092835701
0.71562,0.398255,0.36129530534236665
0.72667,0.4124,0.3759539568009558
0.7376,0.427099,0.39096098424120385
0.74841,0.44206,0.40631548810877405
0.75911,0.457861,0.4220310726262255
0.76969,0.474431,0.4380920344227519
0.78016,0.490828,0.45451212821998865
0.79052,0.507971,0.47129026782377537
0.80078,0.524417,0.48844194467071134
0.81093,0.542129,0.5059493482543189
0.82098,0.559642,0.52382825148932
0.83093,0.577473,0.5420776048944589
0.84078,0.594917,0.5606959848165758
0.85054,0.612909,0.5797013486020433
0.8602,0.631092,0.5990729137944726
0.86977,0.649844,0.618829067685283
0.87925,0.66937,0.6389686712318081
0.88864,0.688703,0.6594902394793536
0.89794,0.709012,0.6803919359624331
0.90716,0.728595,0.7016949914367672
0.91629,0.748786,0.7233747164823967
0.92534,0.770051,0.7454529427547527
0.93431,0.791814,0.7679284006522664
0.9432,0.813538,0.7907995035300246
0.95201,0.835373,0.8140643430083117
0.96074,0.857681,0.837720684551897
0.9694,0.879907,0.8617941156704205
0.97798,0.902808,0.886255015440014
0.98649,0.926271,0.9111297697418763
0.99493,0.950469,0.9364170354056682
1.0033,0.97504,0.9621151833422061
1.0116,0.999402,0.9882222946858121
1.01983,1.02466,1.014736157152754
1.02799,1.04961,1.0416542616244158
1.03609,1.07609,1.069007963625097
1.04412,1.10219,1.0967615799197006
1.05209,1.12953,1.1249474913494737
1.06,1.15637,1.1535644525175144
1.06784,1.18425,1.182573549285678
1.07562,1.2116,1.2120087698195334
1.08334,1.24081,1.2418680741461685
1.09101,1.27,1.2721891249734654
