Model Details
Model: Ogden3, Initial Guess: 1,1,1,1,1,1, Bounds: unbounded, RMSE: 0.031, BIC: -2465.651

Predictions
Note2: test2note2

Note: test2

x,y_original,Ogden3_ypred
1.62298,5.98006,5.981395645789689
1.62746,6.05162,6.053915536339787
1.63191,6.12678,6.126721354748497
1.63635,6.20253,6.200136703813314
1.64076,6.27723,6.273827156133393
1.64516,6.35194,6.348123092869514
1.64953,6.42859,6.422682876690374
1.65389,6.50386,6.4978437256070265
1.65823,6.58154,6.573431792853853
1.66255,6.65852,6.649442866075333
1.66685,6.73618,6.725872633256586
1.67113,6.81435,6.802716683052267
1.6754,6.89276,6.8801527594698655
1.67964,6.97183,6.957813559022043
1.68387,7.05136,7.036060713548977
1.68808,7.1321,7.114707181462563
1.69227,7.21155,7.193748077675082
1.69645,7.29121,7.273369824352812
1.70061,7.37342,7.35337963595407
1.70475,7.45553,7.433772352924507
1.70887,7.53767,7.51454271945704
1.71298,7.62073,7.595884229921012
1.71707,7.70269,7.677596340095079
1.72114,7.78648,7.759673523369656
1.7252,7.8706,7.842314652444202
1.72924,7.95487,7.92531330429847
1.73326,8.03828,8.008663684596968
1.73727,8.12136,8.09257010208512
1.74126,8.2081,8.176820201696046
1.74524,8.2936,8.261621953997292
1.7492,8.37915,8.346759025459278
1.75314,8.46656,8.43222518763946
1.75707,8.55151,8.518233941138988
1.76099,8.63902,8.604784699263064
1.76489,8.72761,8.691653104221132
1.76877,8.81495,8.778832591952323
1.77264,8.90388,8.866544134131345
1.77649,8.99032,8.954557289226841
1.78033,9.0805,9.043096797112185
1.78415,9.1706,9.131928142174047
1.78796,9.26031,9.221279854674776
1.79176,9.35121,9.31115082034762
1.79554,9.44028,9.401300381245619
1.79931,9.53361,9.49196280488195
1.80306,9.62204,9.582893307615223
1.8068,9.71409,9.674330003679643
1.81052,9.80651,9.766023967439878
1.81423,9.89824,9.858217178905988
1.81793,9.99248,9.950908079625606
1.82161,10.0828,10.043841506036415
1.82528,10.1781,10.13726528125926
1.82894,10.2725,10.231177664580628
1.83258,10.3662,10.325317215024143
1.83621,10.4599,10.419937643255025
1.83983,10.5551,10.515037027818153
1.84343,10.6523,10.610347614705688
1.84702,10.7468,10.706129043495366
1.8506,10.841,10.802379213877202
1.85416,10.9376,10.898824027147839
1.85772,11.0357,10.996003096964614
1.86126,11.1322,11.09336819991313
1.86478,11.2296,11.190910803660017
1.8683,11.3269,11.28918274098919
1.8718,11.4251,11.387623200627786
1.87529,11.524,11.486507825625722
1.87877,11.6203,11.585834059643275
1.88224,11.7218,11.685599293821724
1.88569,11.8198,11.785510222024413
1.88913,11.9194,11.885850584801346
1.89256,12.0185,11.986617604117555
1.89598,12.1191,12.087808450286502
1.89939,12.22,12.189420242099459
1.90279,12.3211,12.291450046971477
1.90617,12.4213,12.393591630608626
1.90954,12.5236,12.49614098547272
1.9129,12.6266,12.599095015876628
1.91625,12.7276,12.702450575889088
1.91959,12.8302,12.806204469523436
1.92292,12.9355,12.910353450945877
1.92624,13.0384,13.014894224673299
1.92954,13.1416,13.119505378474969
1.93284,13.2436,13.224817524227547
1.93612,13.3487,13.330188957204427
1.9394,13.4546,13.436258693712716
1.94266,13.5595,13.542376421288736
1.94591,13.6648,13.648860866339419
1.94915,13.77,13.755708387240247
1.95238,13.8754,13.862915295271705
1.9556,13.9824,13.970477854917135
1.95881,14.0873,14.078392284167421
1.96201,14.1949,14.186654754844312
1.9652,14.3022,14.295261392926022
1.96838,14.4088,14.404208278878741
1.97155,14.5178,14.513491448009063
1.97471,14.6255,14.62310689080914
1.97786,14.736,14.733050553333669
1.981,14.8425,14.84331833755732
1.98413,14.9505,14.953906101763096
1.98725,15.0609,15.06480966093477
1.99036,15.1687,15.176024787149345
1.99346,15.2809,15.287547209989498
1.99655,15.3893,15.399372616958772
1.99964,15.5006,15.511861769227835
2.00271,15.6133,15.624282184783624
2.00577,15.7242,15.736992398236907
2.00882,15.8361,15.84998793296927
2.01187,15.9483,15.96363796704236
2.0149,16.0574,16.077192696451675
2.01793,16.1723,16.1913970613723
2.02095,16.2859,16.30587273031597
2.02395,16.3971,16.420232755058805
2.02695,16.5089,16.535234824745203
2.02994,16.6236,16.650494060217625
2.03292,16.7386,16.76600567366586
2.03589,16.8539,16.881764840804408
2.03886,16.9681,16.998159671443773
2.04181,17.0852,17.114401463360082
2.04476,17.1976,17.231273362220236
2.04769,17.3137,17.347978047967445
2.05062,17.4318,17.465307136541924
2.05354,17.5444,17.582858345985187
2.05645,17.6621,17.700626603078035
2.05936,17.7793,17.81901469673403
2.06225,17.8964,17.937203821422827
2.06513,18.0166,18.05559457764366
2.06801,18.1332,18.174596022526202
2.07088,18.2524,18.29379289876033
2.07374,18.3714,18.41317993533221
2.0766,18.4915,18.533172441906117
2.07944,18.6113,18.65292597605503
2.08228,18.7298,18.77327850719621
2.08511,18.8511,18.893804027080023
2.08793,18.9713,19.014497110129923
2.09074,19.0904,19.135352303872878
2.09355,19.2143,19.25679736521397
2.09634,19.3343,19.37796240696707
2.09913,19.4558,19.499710457173478
2.10191,19.5754,19.62160271165112
2.10469,19.7002,19.74407516666406
2.10745,19.8217,19.866241103629363
2.11021,19.9488,19.9889801335853
2.11296,20.0709,20.111844989969995
2.11571,20.1936,20.235279860557966
2.11844,20.317,20.35838131036553
2.12117,20.4414,20.48204542863232
2.12389,20.5653,20.605816548774783
2.12661,20.6907,20.73014699396208
2.12931,20.8178,20.854116745413194
2.13201,20.9434,20.978638248862808
2.1347,21.0701,21.103247509048742
2.13739,21.1984,21.2284049200739
2.14007,21.3219,21.35364234533108
2.14274,21.4521,21.478953841058228
2.1454,21.5817,21.604333448034595
2.14806,21.7088,21.730249565962367
2.1507,21.836,21.8557494617462
2.15335,21.9645,21.982256261021575
2.15598,22.0935,22.108334777444725
2.15861,22.2239,22.234937718343645
2.16123,22.3554,22.36158061431979
2.16385,22.4848,22.488743714084194
2.16645,22.6142,22.615450193040488
2.16905,22.7458,22.74266858417559
2.17165,22.8731,22.870398643020962
2.17423,23.0058,22.99765166401994
2.17682,23.1375,23.125904078947315
2.17939,23.2707,23.253667064105684
2.18196,23.3998,23.381928659439836
2.18452,23.5368,23.51018646754528
2.18707,23.6653,23.638434243500342
2.18962,23.7972,23.7671715453489
2.19216,23.9288,23.89589012280976
2.1947,24.061,24.02509331373949
2.19722,24.1951,24.15375747247799
2.19975,24.329,24.28341083977648
2.20226,24.4638,24.412512533247536
2.20477,24.5962,24.542084908541256
2.20728,24.7302,24.672127233797255
2.20977,24.8645,24.80159695259863
2.21226,24.9989,24.93152760933026
2.21475,25.133,25.06191837109145
2.21722,25.2641,25.19171553348133
